,cubeid,cubeidpub,cubename,catid,pa_gaskin,pa_gaskin_err
1616,396584_blue_red_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16,396584_A,396584_blue_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16.fits,396584,117.0,0.16666667
1617,396607_blue_red_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16,396607_A,396607_blue_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16.fits,396607,272.5,0.16666667
1618,396615_blue_red_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01,396615_A,396615_blue_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01.fits,396615,288.5,0.25
1619,396621_blue_red_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16,396621_A,396621_blue_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16.fits,396621,119.5,1.3333334
1620,396709_blue_red_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16,396709_A,396709_blue_7_Y18SAR4_P001_12T126_2018_05_07-2018_05_16.fits,396709,145.0,0.9166667
1621,396781_blue_red_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01,396781_A,396781_blue_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01.fits,396781,161.5,0.16666667
1622,396833_blue_red_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01,396833_A,396833_blue_7_Y16SAR4_P001_12T090_2017_04_19-2017_05_01.fits,396833,356.0,0.16666667
1623,397449_blue_red_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20,397449_A,397449_blue_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20.fits,397449,176.5,0.33333334
1624,402934_blue_red_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20,402934_A,402934_blue_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20.fits,402934,349.0,0.33333334
1625,402988_blue_red_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20,402988_A,402988_blue_7_Y15SAR4_P002_12T096_2015_05_14-2015_05_20.fits,402988,158.0,0.33333334
1626,417392_blue_red_8_Y13SAR1_P006_09T014_2013_03_05-2013_03_17,417392_A,417392_blue_8_Y13SAR1_P006_09T014_2013_03_05-2013_03_17.fits,417392,165.5,0.16666667
1627,417424_blue_red_8_Y13SAR1_P006_09T014_2013_03_05-2013_03_17,417424_A,417424_blue_8_Y13SAR1_P006_09T014_2013_03_05-2013_03_17.fits,417424,209.0,0.16666667
1628,417433_blue_red_7_Y14SAR1_P006_09T066_2015_02_16-2015_02_25,417433_A,417433_blue_7_Y14SAR1_P006_09T066_2015_02_16-2015_02_25.fits,417433,127.5,0.16666667
1629,417440_blue_red_7_Y18SAR1_P002_09T150_2018_03_12-2018_03_22,417440_A,417440_blue_7_Y18SAR1_P002_09T150_2018_03_12-2018_03_22.fits,417440,214.5,0.25
1630,417441_blue_red_7_Y14SAR1_P006_09T066_2015_02_16-2015_02_25,417441_A,417441_blue_7_Y14SAR1_P006_09T066_2015_02_16-2015_02_25.fits,417441,41.5,0.16666667
1631,417453_blue_red_7_Y14SAR1_P002_09T062_2015_02_16-2015_02_25,417453_A,417453_blue_7_Y14SAR1_P002_09T062_2015_02_16-2015_02_25.fits,417453,196.5,0.16666667
1632,417471_blue_red_7_Y18SAR1_P002_09T150_2018_03_12-2018_03_22,417471_A,417471_blue_7_Y18SAR1_P002_09T150_2018_03_12-2018_03_22.fits,417471,108.5,0.41666666
1633,417486_blue_red_7_Y13SAR1_P005_09T009_2013_03_05-2013_03_17,417486_A,417486_blue_7_Y13SAR1_P005_09T009_2013_03_05-2013_03_17.fits,417486,237.5,0.16666667
1634,417568_blue_red_7_Y13SAR1_P005_09T009_2013_03_05-2013_03_17,417568_A,417568_blue_7_Y13SAR1_P005_09T009_2013_03_05-2013_03_17.fits,417568,295.0,0.33333334
1635,417580_blue_red_7_Y13SAR1_P005_09T009_2013_03_05-2013_03_17,417580_A,417580_blue_7_Y13SAR1_P005_09T009_2013_03_05-2013_03_17.fits,417580,321.5,9.583333
1636,417678_blue_red_6_Y14SAR2_P004_09T071_2014_04_02-2014_04_06,417678_A,417678_blue_6_Y14SAR2_P004_09T071_2014_04_02-2014_04_06.fits,417678,184.0,0.16666667
1637,418047_blue_red_7_Y18SAR2_P001_09T151_2018_03_12-2018_03_22,418047_A,418047_blue_7_Y18SAR2_P001_09T151_2018_03_12-2018_03_22.fits,418047,4.5,0.5833333
1638,418086_blue_red_7_Y18SAR2_P001_09T151_2018_03_12-2018_03_22,418086_A,418086_blue_7_Y18SAR2_P001_09T151_2018_03_12-2018_03_22.fits,418086,181.5,0.25
1639,418624_blue_red_7_Y15SAR2_P001_09T106_2016_02_08-2016_02_14,418624_A,418624_blue_7_Y15SAR2_P001_09T106_2016_02_08-2016_02_14.fits,418624,280.5,0.16666667
1640,418630_blue_red_7_Y15SAR2_P001_09T106_2016_02_08-2016_02_14,418630_A,418630_blue_7_Y15SAR2_P001_09T106_2016_02_08-2016_02_14.fits,418630,285.5,12.916667
1641,418693_blue_red_7_Y14SBR2_P001_09T087_2015_01_19-2015_01_26,418693_A,418693_blue_7_Y14SBR2_P001_09T087_2015_01_19-2015_01_26.fits,418693,162.0,0.8333333
1642,418725_blue_red_7_Y14SBR2_P001_09T087_2015_01_19-2015_01_26,418725_A,418725_blue_7_Y14SBR2_P001_09T087_2015_01_19-2015_01_26.fits,418725,243.0,0.16666667
1643,418725_blue_red_7_Y17SAR2_P002_09T130_2018_02_12-2018_02_19,418725_B,418725_blue_7_Y17SAR2_P002_09T130_2018_02_12-2018_02_19.fits,418725,244.0,0.16666667
1644,418737_blue_red_7_Y17SAR2_P002_09T130_2018_02_12-2018_02_19,418737_A,418737_blue_7_Y17SAR2_P002_09T130_2018_02_12-2018_02_19.fits,418737,151.5,0.16666667
1645,418795_blue_red_7_Y14SBR2_P001_09T087_2015_01_19-2015_01_26,418795_A,418795_blue_7_Y14SBR2_P001_09T087_2015_01_19-2015_01_26.fits,418795,334.0,0.16666667
1646,418831_blue_red_7_Y17SAR2_P002_09T130_2018_02_12-2018_02_19,418831_A,418831_blue_7_Y17SAR2_P002_09T130_2018_02_12-2018_02_19.fits,418831,320.0,0.33333334
1647,418971_blue_red_7_Y17SAR2_P002_09T130_2018_02_12-2018_02_19,418971_A,418971_blue_7_Y17SAR2_P002_09T130_2018_02_12-2018_02_19.fits,418971,104.5,0.25
1648,419205_blue_red_7_Y17SAR1_P001_09T125_2017_03_24-2017_04_02,419205_A,419205_blue_7_Y17SAR1_P001_09T125_2017_03_24-2017_04_02.fits,419205,113.5,11.5
1649,419294_blue_red_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22,419294_A,419294_blue_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22.fits,419294,346.5,0.16666667
