,catid,photometry,remge,mmge,rextinction,pamge,epsmge_re,epsmge_lw,dist2nneigh,chi2
3030,9388001133,VST,4.08881,14.977129,0.033,60.55832,0.08616029,0.07404578,22.438248,1.1445571
3031,9403800001,VST,16.288023,12.808943,0.043,119.45685,0.48616835,0.32605815,24.878,2.760534
3032,9403800002,VST,6.7951145,13.747414,0.043,72.78726,0.343617,0.1665101,24.864782,6.0525303
3033,9403800003,VST,1.9442114,15.599994,0.043,166.0334,0.23432778,0.26549155,22.67452,1.4544244
3034,9403800004,VST,1.9781573,16.980349,0.043,51.822617,0.18931271,0.17328501,15.707109,2.4143333
3035,9403800005,VST,4.6636224,15.657206,0.043,97.782104,0.16818397,0.16097593,17.25692,2.332225
3036,9403800007,VST,2.4013977,16.349123,0.043,20.276062,0.39996716,0.41644466,17.402952,3.2193809
3037,9403800008,VST,0.98645663,15.608376,0.043,146.3128,0.24564664,0.43522775,11.991412,1.7392927
3038,9403800013,VST,2.2711842,15.515252,0.044,26.380005,0.13563833,0.13927221,2.9024956,2.8121164
3039,9403800016,VST,3.1856372,16.624186,0.045,126.88234,0.4177759,0.38374054,15.174022,3.560362
3040,9403800017,VST,3.0028284,15.908228,0.043,6.267578,0.2512002,0.11396068,12.12792,1.2864181
3041,9403800021,VST,3.1293437,14.723284,0.044,123.903656,0.4990539,0.5745246,19.535849,0.7785981
3042,9403800022,VST,3.987822,16.833412,0.045,92.100006,0.115020625,0.04347503,11.807702,6.5187955
3043,9403800023,VST,2.5878627,16.006432,0.042,169.65408,0.22433306,0.14669609,13.666565,2.211449
3044,9403800025,VST,3.3085926,14.46234,0.044,110.32564,0.33198163,0.2922864,16.832281,0.7124419
3045,9403800026,VST,2.5622866,16.52681,0.045,148.89938,0.108183034,0.101319194,17.695381,5.792097
3046,9403800028,VST,1.692574,18.763042,0.042,73.990005,0.01605465,0.0,19.865917,11.72329
3047,9403800029,VST,4.783322,13.556756,0.045,66.33684,0.39159888,0.3757077,17.680637,1.2360351
3048,9403800032,VST,3.0520291,15.741009,0.043,99.6024,0.320421,0.18075466,30.519062,2.7066798
3049,9403800035,VST,9.983572,12.841196,0.045,131.1537,0.15468338,0.2182132,39.36459,0.74226564
3050,9403800044,VST,1.455449,16.755512,0.045,136.19167,0.5887438,0.549987,8.488789,2.4879353
3051,9403800045,VST,2.8034906,15.901445,0.046,33.594513,0.30506995,0.27767026,9.998971,1.5922079
3052,9403800047,VST,3.236447,14.86446,0.045,134.71843,0.20864417,0.14497375,12.075555,0.9162696
3053,9403800057,VST,2.9643588,14.794626,0.045,9.224213,0.17838427,0.16372055,30.807587,0.65674126
3054,9403800064,VST,2.165113,15.812069,0.042,176.19,0.22352758,0.31338716,17.381262,1.3329989
3055,9403800073,VST,3.1424303,15.793248,0.044,144.97801,0.25454682,0.20552647,18.468096,1.2368022
3056,9403800077,VST,3.2804992,15.245182,0.045,14.594543,0.013654729,0.014401078,15.019483,1.1510587
3057,9403800083,VST,2.0141194,15.648351,0.042,162.30798,0.5108038,0.5493263,18.714474,3.4375045
3058,9403800086,VST,3.7358134,15.010304,0.049,16.807434,0.096825995,0.10936499,12.501514,0.91759145
3059,9403800094,VST,2.1543624,16.605629,0.042,136.23206,0.21586704,0.27733314,7.4039397,2.968738
3060,9403800099,VST,4.0810857,16.577932,0.042,104.41156,0.053663738,0.08482337,24.008453,3.627207
3061,9403800101,VST,2.054953,15.319141,0.043,86.949585,0.27741054,0.39582342,26.386187,1.4426657
3062,9403800111,VST,2.639886,16.988876,0.041,5.36644,0.25704998,0.20033914,4.470535,5.916758
3063,9403800114,VST,2.8772013,15.55016,0.05,152.73492,0.46930623,0.4602806,17.295599,1.7172275
3064,9403800116,VST,1.3622328,17.044266,0.049,63.838623,0.41545486,0.3704741,13.581212,5.197999
3065,9403800117,VST,5.9978504,13.712034,0.05,162.88521,0.14571978,0.17053926,40.093773,0.6575494
3066,9403800119,VST,1.6754783,15.641696,0.051,13.444458,0.08565808,0.16938305,8.44901,1.0116079
3067,9403800120,VST,2.5087934,14.739184,0.05,49.1008,0.30968738,0.33242303,9.352455,1.0519654
3068,9403800121,VST,1.2490324,16.16507,0.044,34.329407,0.12654322,0.16905701,13.673282,2.6532195
3069,9403800123,VST,4.9493904,13.605552,0.048,56.890594,0.19730748,0.22102094,13.531098,0.69553065
3070,9403800131,VST,3.9667163,15.549835,0.045,109.174255,0.3985103,0.38174784,11.9614,1.6125616
3071,9403800135,VST,2.2242744,17.954266,0.046,116.25574,0.043153204,0.03770703,20.048437,9.059444
3072,9403800140,VST,1.2732246,16.694523,0.05,0.16793823,0.40922812,0.49105793,28.094637,1.6706069
3073,9403800148,VST,2.4669151,15.225571,0.045,165.9845,0.24127361,0.4200976,16.16658,1.4094503
3074,9403800149,VST,6.089522,13.900357,0.041,142.56653,0.33638385,0.31012905,26.835663,1.0594182
