,cubeidpub,cubeid,cubename,catid,cubefwhm,cubetexp,meantrans,isbest,catsource,warnstar,warnfill,warnz,warnmult,warnakpc,warnare,warnamge,warnsk2m,warnsk4m,warnsk4mhsn,warnfcal,warnfcbr,warnskyb,warnskyr,warnsker,warnwcs,warnre,warnskem,warnemft
771,78791_A,78791_7_Y14SAR4_P002_15T088_2014_05_23-2014_06_01,78791_blue_7_Y14SAR4_P002_15T088_2014_05_23-2014_06_01.fits,78791,1.5795939,11900.0,0.9506866,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
772,78827_A,78827_7_Y14SAR4_P002_15T088_2014_05_23-2014_06_01,78827_blue_7_Y14SAR4_P002_15T088_2014_05_23-2014_06_01.fits,78827,1.5795939,11900.0,0.9506866,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
773,78921_A,78921_7_Y14SAR4_P002_15T088_2014_05_23-2014_06_01,78921_blue_7_Y14SAR4_P002_15T088_2014_05_23-2014_06_01.fits,78921,1.5795939,11900.0,0.9506866,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
774,79098_A,79098_7_Y17SAR3_P002_15T125_2018_04_09-2018_04_19,79098_blue_7_Y17SAR3_P002_15T125_2018_04_09-2018_04_19.fits,79098,2.7795937,12250.0,0.76494646,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
775,79329_A,79329_7_Y17SAR2_P005_15T123_2018_04_09-2018_04_19,79329_blue_7_Y17SAR2_P005_15T123_2018_04_09-2018_04_19.fits,79329,2.0562236,12250.0,0.78444093,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776,79335_A,79335_7_Y17SAR2_P005_15T123_2018_04_09-2018_04_19,79335_blue_7_Y17SAR2_P005_15T123_2018_04_09-2018_04_19.fits,79335,2.0562236,12250.0,0.78444093,True,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
777,79444_A,79444_7_Y17SAR2_P005_15T123_2018_04_09-2018_04_19,79444_blue_7_Y17SAR2_P005_15T123_2018_04_09-2018_04_19.fits,79444,2.0562236,12250.0,0.78444093,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778,7946_A,7946_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7946_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7946,1.5607373,12600.0,1.072321,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
779,79529_A,79529_7_Y17SAR2_P005_15T123_2018_04_09-2018_04_19,79529_blue_7_Y17SAR2_P005_15T123_2018_04_09-2018_04_19.fits,79529,2.0562236,12250.0,0.78444093,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,79601_A,79601_10_Y14SAR2_P008_15T068_2017_02_27-2017_03_05,79601_blue_10_Y14SAR2_P008_15T068_2017_02_27-2017_03_05.fits,79601,2.1248715,17100.0,0.7808117,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
781,79635_A,79635_7_Y13SAR1_P003_15T008_2013_03_05-2013_03_17,79635_blue_7_Y13SAR1_P003_15T008_2013_03_05-2013_03_17.fits,79635,2.1411994,12600.0,0.98808795,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782,79670_A,79670_10_Y14SAR2_P008_15T068_2017_02_27-2017_03_05,79670_blue_10_Y14SAR2_P008_15T068_2017_02_27-2017_03_05.fits,79670,2.1248715,17100.0,0.7808117,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783,79689_A,79689_10_Y14SAR2_P008_15T068_2017_02_27-2017_03_05,79689_blue_10_Y14SAR2_P008_15T068_2017_02_27-2017_03_05.fits,79689,2.1248715,17100.0,0.7808117,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
